                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2411,                 1.8879,                 1.3122,                0.83633,                0.77436,                0.85422,                0.55479,                 1.1264,                 1.2078,                 1.1924,              0.0033261,              0.0033261,              0.0033261
                      2,                 1.1357,                 1.2008,                 1.1963,                0.82933,                0.79181,                0.86949,                0.56795,                 1.1578,                 1.0956,                  1.203,              0.0065935,              0.0065935,              0.0065935
                      3,                 1.1803,                 1.1273,                 1.2173,                0.79618,                0.71834,                0.80646,                0.51239,                 1.2477,                 1.0949,                  1.304,              0.0097949,              0.0097949,              0.0097949
                      4,                 1.2015,                 1.1062,                 1.2419,                0.82529,                0.76907,                0.85168,                0.55858,                 1.1835,                0.96494,                 1.2298,               0.009703,               0.009703,               0.009703
                      5,                 1.1668,                 1.0062,                 1.2192,                0.85527,                0.80652,                0.89036,                0.60507,                 1.0952,                 0.8406,                 1.1769,               0.009604,               0.009604,               0.009604
                      6,                 1.1474,                0.95435,                 1.2109,                0.84448,                0.79284,                0.87877,                0.59966,                 1.0915,                0.84244,                  1.181,               0.009505,               0.009505,               0.009505
                      7,                 1.1217,                0.92662,                 1.1956,                0.86434,                0.83726,                0.90847,                0.64859,                  1.021,                0.74251,                 1.1296,               0.009406,               0.009406,               0.009406
                      8,                 1.1039,                0.88317,                 1.1881,                0.88523,                0.83512,                0.90975,                0.64393,                 1.0218,                0.73162,                 1.1436,               0.009307,               0.009307,               0.009307
                      9,                 1.0804,                0.84415,                 1.1708,                0.88114,                0.84398,                  0.915,                0.65299,                 1.0395,                0.71587,                 1.1484,               0.009208,               0.009208,               0.009208
                     10,                 1.0709,                0.83437,                  1.168,                0.88235,                0.83496,                0.91445,                0.65368,                 1.0085,                0.70038,                 1.1171,               0.009109,               0.009109,               0.009109
                     11,                   1.06,                0.81363,                 1.1657,                0.88684,                0.85806,                0.92295,                0.66466,                0.98286,                0.68557,                 1.1172,                0.00901,                0.00901,                0.00901
                     12,                  1.049,                0.80222,                 1.1611,                0.89254,                0.84023,                 0.9168,                0.66516,                 0.9745,                0.67577,                 1.1186,               0.008911,               0.008911,               0.008911
                     13,                 1.0387,                0.78593,                 1.1537,                 0.8964,                0.86814,                0.93749,                0.68946,                0.95174,                0.62116,                 1.0846,               0.008812,               0.008812,               0.008812
                     14,                 1.0243,                0.76166,                 1.1407,                0.89454,                0.86442,                0.93385,                0.68688,                0.94709,                0.63284,                 1.0858,               0.008713,               0.008713,               0.008713
                     15,                 1.0164,                0.76014,                 1.1394,                0.89338,                 0.8704,                0.93357,                0.69061,                0.94797,                0.62415,                 1.0845,               0.008614,               0.008614,               0.008614
                     16,                 1.0103,                 0.7519,                 1.1366,                0.91177,                0.86643,                 0.9373,                0.68907,                0.94706,                0.61909,                 1.0791,               0.008515,               0.008515,               0.008515
                     17,                 1.0028,                0.73382,                 1.1301,                0.90021,                0.86469,                0.93834,                0.70176,                0.92518,                0.60208,                 1.0687,               0.008416,               0.008416,               0.008416
                     18,                0.99606,                 0.7263,                 1.1304,                0.89859,                0.87039,                0.93785,                0.70108,                0.92943,                0.59783,                 1.0848,               0.008317,               0.008317,               0.008317
                     19,                0.98805,                0.71819,                 1.1257,                 0.9102,                0.87658,                0.94224,                0.71335,                0.89313,                0.57424,                 1.0554,               0.008218,               0.008218,               0.008218
                     20,                0.97721,                0.70906,                 1.1154,                0.90037,                0.89207,                0.94801,                0.71312,                0.91438,                 0.5654,                 1.0587,               0.008119,               0.008119,               0.008119
                     21,                0.97762,                0.70346,                 1.1191,                0.90998,                0.87267,                0.94073,                0.71151,                0.90441,                0.57374,                 1.0626,                0.00802,                0.00802,                0.00802
                     22,                0.96964,                0.69371,                 1.1168,                0.90838,                 0.8913,                0.94748,                0.72126,                 0.8862,                 0.5524,                 1.0428,               0.007921,               0.007921,               0.007921
                     23,                0.97223,                0.69114,                  1.114,                0.91129,                0.87945,                0.94978,                0.71885,                0.90129,                0.55191,                 1.0561,               0.007822,               0.007822,               0.007822
                     24,                 0.9501,                0.67518,                 1.1027,                0.90205,                0.89195,                0.94731,                0.71606,                0.90542,                0.55182,                 1.0699,               0.007723,               0.007723,               0.007723
                     25,                0.95083,                0.67087,                 1.1038,                0.91407,                0.89672,                0.95386,                0.73274,                0.87128,                0.53424,                 1.0363,               0.007624,               0.007624,               0.007624
                     26,                 0.9424,                0.65988,                 1.0976,                0.92705,                0.88811,                0.95466,                0.73597,                0.87104,                0.52353,                 1.0436,               0.007525,               0.007525,               0.007525
